sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,-2.2203684,-0.8193446,0.5326652,0.027417028,0.060709767,-1.1792837,-0.3205134,-1.0470096,0.585934,-0.37344137,0.90782267,-1.3517942,0.05757673,0.18196012,0.3910131,0.93326396
4,MGS1,-0.051919833,-0.8249135,0.5146456,0.32542166,0.11306295,-0.5488012,-0.74219906,-1.1160902,0.5066086,-0.27919236,-0.47739714,-1.2355118,0.07084331,-0.56143075,-0.35047626,-0.7411134
6,MGS1,-1.7935421,-0.9127329,0.23648413,-0.075256206,0.2309382,-1.4516289,-0.85774505,-0.5720222,0.5768639,0.33649012,1.8626815,0.5107542,0.34005842,-1.1282135,-1.1106976,-0.030306354
9,MGS1,-0.3318656,0.058824953,-0.8552241,0.2442313,0.53070873,-2.2550485,0.14355144,-0.06628069,0.10659015,-0.533773,2.4344358,-0.4729142,0.3532242,0.8493949,0.034447663,1.1428213
17,MGS1,0.5278634,-0.28914356,0.3462057,-0.26992318,-0.52847517,0.27682203,-0.9206016,0.6172798,0.4249588,0.43915534,1.9861208,-0.078887165,-0.60755867,0.11814161,0.5069552,1.1081734
18,MGS1,0.4831538,0.62131226,2.0049865,-0.9792519,-0.49948296,-0.677077,-0.56798345,1.3331497,-0.8667568,-0.21739197,0.5445883,-0.8541062,-0.6211366,-0.553959,0.52889985,-0.9799761
32,MGS1,1.0599037,-0.6326091,0.2819927,-0.14034554,-0.4984224,0.83306104,-1.095264,0.85050964,-0.7873678,0.07670827,3.1093664,0.08736359,-0.15111803,0.14778769,-0.9708109,1.5782951
35,MGS1,-1.3357296,-1.3528818,-1.7973089,0.5650004,0.8943459,1.0379235,-0.3642031,0.04450132,1.492818,-0.5548561,0.70925176,-0.24444762,-1.2423725,-0.9640253,-2.1212738,-0.40130478
41,MGS1,-0.7680519,-0.22449711,-0.29980314,-0.96419364,1.2846112,-0.3617738,0.1578772,-0.42763987,0.34032714,-0.29484022,-1.3264425,-0.7367515,-0.6714677,-1.4995834,-0.01922321,-1.5698949
42,MGS1,0.82848245,-1.2048849,1.0906293,-1.0772171,-1.091359,0.76104933,-1.3431376,-0.99049604,0.40213725,0.6996255,-0.16622765,0.102832355,-0.98154354,-0.8648362,-0.5577074,0.80096495
43,MGS1,-0.650109,-1.0126648,-2.039664,0.48138058,0.7227221,-0.49297577,0.90160036,0.9522605,1.0042733,-1.6705586,1.8864594,0.33418894,-0.18594114,-0.6149894,-1.5534035,0.55902886
81,MGS1,1.0896376,-0.9299385,-1.3897661,-0.4676285,-0.5085227,0.7077725,-0.37593165,0.77611333,0.6203533,-0.6229613,2.00845,1.3157285,-0.2328516,-1.4217741,-0.8104898,0.76230687
89,MGS1,1.0054923,-0.94168854,-1.2803222,-0.96341217,-0.51483774,1.1759615,-0.54933494,1.3553431,0.78633726,-0.4468992,3.0724454,1.6961043,0.031695202,-1.4919671,-1.6997131,1.1677525
99,MGS1,1.1246003,-0.77704525,-0.81425834,-0.41320503,-0.69365275,-0.14523982,-0.70892,0.31418273,0.14241196,0.89273554,3.1306748,0.33386782,0.07549187,0.5543665,0.019292152,2.1382375
109,MGS1,-0.42132133,0.016102301,-0.9328521,-0.5170192,1.2517982,-1.6570878,-0.34037212,-0.16322671,0.41309077,-0.061208706,0.32808688,-0.30153114,-0.22709304,-0.75991887,-0.33569893,-1.3195556
115,MGS1,0.23015444,0.20502184,0.81931335,-1.5060213,0.036697455,-0.37776166,-0.20827726,0.09501423,-0.57340336,0.43710595,0.63774633,-0.07494148,-1.276009,-1.3715807,-0.07206224,-0.7317918
117,MGS1,1.7927309,-0.49383458,-0.96070546,-0.31997627,-0.36584666,-0.4758188,-0.2641898,-0.31936145,0.95323145,0.6967133,2.951591,0.9415656,0.38808045,0.44103557,0.76270294,3.230806
119,MGS1,-0.024441658,-0.018452225,-0.18231373,0.056975164,0.5084907,-1.8184017,-0.025638126,-0.25157312,0.25785002,-0.25062078,1.8469294,-0.4215195,0.27036047,0.62379664,-0.13549723,0.9355
120,MGS1,-0.30938548,-0.97528523,-2.2449439,0.6496301,1.2972491,0.1832737,-0.5041462,0.059511133,1.7615186,-0.36487445,0.77251446,0.3434021,-0.78462553,-1.0268351,-0.8602619,0.02423841
126,MGS1,-0.38445124,-0.4315788,-2.001231,-0.73128116,1.5177782,0.31621197,0.030551106,1.9367865,0.37686253,0.29235697,2.0932026,1.1696627,-1.4370645,-0.6193202,0.000354027,2.0488586
137,MGS1,0.6876347,0.14283493,0.08798536,-1.4838543,-0.06781219,0.10720034,0.14735338,0.6932513,0.12401612,0.1112629,-0.1000921,0.41475594,-0.9770893,-1.514953,0.8796912,-0.05276863
139,MGS1,-0.025928074,-1.5772405,-0.8286604,1.3178626,0.08892313,-0.03952555,-0.17863628,-0.8737017,1.06499,-1.5488669,2.3063703,0.06530978,0.42960805,0.023723606,-2.3674757,1.0566872
142,MGS1,-0.92689896,-0.42058837,-1.6725546,-0.23123695,0.9728188,-1.5699565,0.65912956,-0.2597903,-0.12809949,-0.24735112,3.0160007,0.49160984,0.3717148,-0.8725323,-1.3179151,0.81616026
145,MGS1,0.28830826,-0.07183787,1.1589339,-1.5290648,-0.39169297,-0.56124645,-0.19777474,0.47743264,-0.6787137,0.19689405,0.7084837,-0.00020351,-0.60503215,-1.5173987,0.13790059,-0.5751074
149,MGS1,1.2188879,-0.353999,1.5388618,-1.2777345,-0.9182982,0.32052583,-1.7666243,0.025856161,-1.0782403,-0.37045583,1.1034906,-0.35030252,0.095202304,-2.1646252,-1.671446,-1.8767408
