sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,0.5876579,-0.17823468,0.61526847,-0.7191119,-0.17295125,-0.4648247,-0.6557105,-0.70750916,1.0698247,-0.49019665,-0.98382837,-0.2259009,-0.5749176,1.2719891,0.67037654,-0.9792984
4,MGS1,0.08764,-0.42451724,-1.1918596,-0.9396094,0.22500524,1.0421411,-1.3451831,-1.0399072,0.2217458,0.6467741,-0.88033587,0.40651256,1.1011966,-0.32803804,0.44719982,-2.5774217
6,MGS1,1.3093847,1.2611557,0.34387678,-1.035614,-0.17772585,-0.56235707,-0.6985841,0.17560697,-0.18765706,-0.047881868,0.78297985,1.0068606,0.14897965,-0.8873492,0.7021249,-0.98101586
9,MGS1,2.643807,0.31639686,0.1734352,0.15351847,-0.8153748,-0.40247548,-0.2117193,-0.5896507,-0.601438,0.24582894,0.79894245,-1.569588,-0.76251197,1.7420418,-1.21721,-1.0898893
17,MGS1,1.0220597,-0.6279424,0.45334855,-0.41289085,-0.43163866,-0.14651819,0.58488345,-1.5141168,0.92671984,-0.005803819,-0.61901146,-0.1514181,-0.6399313,0.23343642,1.1485338,-0.09918659
18,MGS1,-0.4095065,0.96323806,-1.8938228,0.5156189,-0.47497812,1.6358398,-0.6518367,-2.0931075,1.0266087,-1.178601,-1.2778051,0.38199058,0.62056416,-1.219464,0.11053054,-1.2929333
32,MGS1,2.238328,-0.2999749,-1.0362397,-0.93585426,-1.4406039,0.31674856,-0.060054213,-1.895439,0.33597097,0.43834177,-0.8968165,-0.5327996,-0.5631907,-0.26548743,1.0871974,-0.10404948
35,MGS1,1.2242996,-0.5502614,0.89826286,-0.51018685,1.0544605,-1.8489211,0.56744087,1.0497489,-0.6871235,-0.2558364,0.1866987,0.32783523,-0.62239856,0.6642808,0.8867741,0.8114081
41,MGS1,-2.035881,0.9019592,1.0155972,1.221546,0.65001,-0.3155973,-0.03617433,1.7005581,0.38775343,-0.81247956,0.60204625,0.9697282,0.921109,-0.35817578,-1.0155908,-0.15368599
42,MGS1,-1.1239551,-0.72914815,-0.032525614,0.27464822,-0.78367704,0.32916248,-0.27102244,-1.2612215,1.4028306,1.3366117,-0.015674442,1.2107564,0.97881174,-0.52658564,1.6827923,-0.34207392
43,MGS1,2.462363,1.300805,0.46558446,0.56004477,-0.25743565,-0.51093256,0.5030415,1.3461019,-1.9289292,0.07779875,1.3384095,0.0691237,-1.0832323,0.065081194,0.1765834,-0.092199735
81,MGS1,1.5143833,1.0454185,-0.00128636,-0.5606824,-0.7969877,0.7144139,0.7345462,-0.39752007,-0.8663671,0.493602,0.3999024,1.1259665,-0.57308716,-1.617768,0.92299193,-0.50072753
89,MGS1,1.5537449,0.45873505,0.55681187,-0.100545526,-0.6014886,-0.003299152,0.7510278,0.25825557,-0.43413246,0.8475595,0.6641143,0.49508083,-1.5263784,-1.3986261,1.6827983,0.7550454
99,MGS1,1.8290969,-0.21501882,0.39150357,-1.16925,-1.7553782,0.65426296,0.33571392,-1.5509309,0.49254903,0.04360452,-0.4377012,0.09199278,-0.8264241,-0.005567756,0.89980716,0.44552624
109,MGS1,0.6472914,0.8090617,-0.58845806,1.2807581,-0.0800842,0.39928493,-0.3735712,0.678395,-0.5504821,0.49855697,0.97501457,0.21474124,0.8695386,-0.3260696,-0.61331415,-0.8844883
115,MGS1,-0.6625296,0.9526456,-0.5022081,0.8797682,-0.9887491,0.6540353,0.66432947,-0.4630192,0.48708588,-0.4579884,-0.4033396,0.96325237,0.7081315,-1.2602985,0.9517337,0.15095545
117,MGS1,0.89952064,-0.14131175,1.840294,-0.77920645,-1.9390385,-0.39636734,0.7022034,-0.8207054,0.4558296,0.9445886,1.1171,-0.09891676,-1.6574965,0.93269235,0.3985452,0.34033966
119,MGS1,1.7917299,0.30998558,0.040522415,0.18243022,-0.6661702,-0.2084807,-0.5523501,-0.5773451,-0.16136149,0.27269962,0.7440373,-1.351173,-0.86782336,1.3920926,-0.6354172,-1.3482996
120,MGS1,1.5686226,-0.1875704,0.7456834,0.34578633,0.5199961,-0.8938393,0.69080895,0.6682467,-1.3783346,0.8567633,1.259022,-0.28922048,-0.9572143,0.43479428,0.06958112,-0.58779645
126,MGS1,1.355732,0.49773076,1.5126275,1.8824325,-2.1240237,-1.7751142,1.8837981,0.10974795,-0.4997432,0.16026926,-0.275571,0.17252539,-1.3619347,-0.051622488,0.9132374,1.0420935
137,MGS1,-1.6297411,0.95335376,0.17286822,1.176614,-0.5423706,0.26695782,0.79611224,0.42379272,0.49311468,0.3053746,0.63156754,1.679783,0.26396015,-1.1176014,0.34973142,0.3381512
139,MGS1,3.1206813,0.5637626,-0.020964045,-2.1811693,-0.47586143,-0.08208279,-1.1275725,-1.1141952,-0.80247426,-0.2159362,0.17414935,-0.6939854,-1.381708,0.67895865,1.2897832,-1.2691363
142,MGS1,3.0036013,0.37508172,-0.21334755,1.2086732,-1.6055276,-0.2198846,0.9802616,1.1539981,-1.5695169,0.40605965,1.421137,-0.5501925,-0.8806905,0.16000229,0.20858207,0.026188144
145,MGS1,-1.0283152,1.0996192,-0.44453394,0.7140662,-0.9075483,0.73255605,0.4202264,-0.5633691,1.2347627,-0.72741985,-0.731669,1.4382627,0.73320293,-1.790524,0.97811,-0.35848552
149,MGS1,-0.21123447,0.94579744,-2.0029304,-0.4135094,-0.3211748,2.2745469,-0.22325748,-0.51470274,0.1553428,0.06696941,-0.6549868,1.2758243,1.7649554,-2.235737,0.8530876,-0.25965917
153,MGS1,2.4742632,-0.25991088,-0.48037845,-0.66405594,0.14229125,-0.5362066,-0.7580152,-0.67818886,-1.3265127,1.0476398,-0.7132766,-0.882799,-0.94468975,0.9167238,0.15926556,-1.2306333
162,MGS1,0.7234916,1.106228,-0.49394473,0.282914,-0.07700498,-0.38679293,-0.12161106,0.607017,-1.311816,1.1320628,0.5848732,0.71271735,0.49578202,-0.766031,0.1268562,-1.2406996
