sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,0.00810643,0.011843033,0.003606409,-0.017804109,-0.011224562,0.001716137,-0.010229475,-0.008798948,0.000356965,0.006785988,-0.025564358,-0.006261155,-0.0208797,0.004960476,0.000929453,-0.015769359
4,MGS1,-0.005305216,-0.003308139,0.015128687,-0.00455071,-0.004220326,-0.009393711,0.009329733,0.023835352,0.010366559,-0.003646888,-0.003887326,0.000458421,-0.012728871,0.015012763,-0.012045879,0.004102519
6,MGS1,0.02350974,-0.000741601,0.011071213,-0.000563227,-0.039668642,0.016220026,-0.003552645,0.020715855,-0.002153248,-0.01110208,-0.018856501,0.025331018,0.006527275,-0.021562412,0.008934645,0.003307007
9,MGS1,0.00364029,0.017384209,-0.004357288,-0.011923187,-0.002979551,-0.006501537,-0.005003104,0.003312319,-0.003772929,-0.008460671,0.003370863,0.009800885,-0.002567366,0.01665368,-0.002649009,0.007936321
17,MGS1,-0.006649603,0.005683936,0.006360399,-0.000105247,-0.000921819,0.012830518,-0.00257745,0.00184786,0.004526877,-0.011791128,0.016587544,0.018241767,3.32E-05,-0.011829831,0.005790867,0.011523731
18,MGS1,0.001858264,-0.002528906,0.012216337,-0.008186803,-0.011543695,0.013439924,-0.001706818,0.003704097,0.005605682,-0.009397462,-0.006685581,0.023345564,-0.00134464,-0.024754055,0.007817045,0.006939657
32,MGS1,-0.007504633,0.010276139,0.017953783,0.012173658,-0.020126522,0.000495492,-0.002881363,-0.000245512,0.018726729,-0.031038165,0.004740638,0.024000008,0.013585949,-0.027167544,0.007648159,0.012768239
35,MGS1,0.003129687,-0.006563216,-0.012748346,0.002135616,-0.024199814,0.009321214,-0.02263914,0.001011618,0.000949159,-0.001640104,-0.02105295,0.027256384,0.015900694,-0.016091205,0.007071879,-0.000540126
41,MGS1,0.002358171,-0.010991275,-0.004274987,-0.011886161,0.027649552,-0.008373352,0.006208926,-0.000917658,0.00232634,0.005834859,0.011626805,-0.01494332,-0.006587124,0.02076102,-0.004262507,0.00233791
42,MGS1,-0.014537966,0.000303246,-0.004641563,-0.014352657,0.026934462,-0.009824585,0.023515206,0.005765551,-0.01049684,0.000931956,0.003155097,-0.010554902,-0.017556328,0.017696254,-0.007335618,0.01091117
43,MGS1,0.011582237,-0.003084302,0.006143674,0.012195372,-0.037952222,0.03495323,-0.013737068,-0.002513513,-0.018014595,-0.007900193,-0.019129723,0.028220978,0.012071088,-0.035839424,0.013634801,-0.01096496
81,MGS1,0.004455201,-0.001967505,-0.008246869,0.019825906,-0.029667333,0.015244077,-0.007371321,0.002471611,0.004911631,-0.019727685,-0.003392763,0.039502643,0.033906728,-0.05916443,0.009464797,0.018469214
89,MGS1,0.02765324,-0.00081563,-0.000665069,0.030632034,-0.0430428,0.028499415,-0.013251334,-0.004618436,0.001844361,-0.003402218,-0.01513207,0.04520987,0.02540873,-0.059882764,0.015915439,0.005592823
99,MGS1,0.003973022,0.01725164,0.001463499,0.004146457,-0.019152477,-0.014578423,-0.001888744,-0.001523525,-0.004001534,-0.011782069,0.001490116,0.018577866,0.009801466,-0.021165911,0.007920824,0.021172673
109,MGS1,0.017572746,0.010630856,-0.01899707,-0.006871685,0.007483922,-0.011659205,0.008995339,0.000161882,0.00338285,0.005556323,-0.022655468,-0.01152188,-0.028789096,0.029821627,-0.006871797,0.0176109
115,MGS1,0.007169035,0.005132541,0.000744522,0.01809783,-0.000263223,0.004405029,0.001193496,0.00285881,-0.002387151,-0.003778905,0.00031672,0.003570508,0.005832732,-0.004725315,0.002729386,0.019076131
117,MGS1,-0.008568414,-0.001744039,0.012933962,-0.016220048,0.03398535,-0.006819934,0.013580158,-0.000592498,-0.011110261,-0.003502032,0.007617395,-0.011242552,-0.002458252,0.015945263,-0.011424365,-0.00093247
119,MGS1,-0.002569929,0.001269974,0.000597129,-0.00735841,-0.006815571,-0.003458642,0.006503696,-0.00500229,0.010352179,-0.001597388,0.003171473,-0.00607913,-0.015135139,0.012282462,-0.014674179,-0.000744215
120,MGS1,-0.004993912,-0.006387018,-0.006576428,0.005387334,-0.005185351,0.005670294,-0.011447214,0.004092589,0.004165329,8.61E-05,-0.006652623,0.025014553,-0.001978569,0.000577681,0.00442797,0.002504652
126,MGS1,0.01295776,-0.009722434,-0.021023165,0.001573533,0.008074604,0.002489053,-0.002227999,-0.006554235,-0.004187834,0.010634761,-0.009871781,0.007179683,-0.009417977,-0.017310072,0.013483994,0.019864894
137,MGS1,0.00200792,-0.007220134,-0.005682379,0.001635701,0.014181307,-0.000753671,0.00516529,-0.001462799,-0.003899891,-0.001723632,-0.003644668,0.001455329,-0.004875343,0.003693374,0.008464478,-0.00224974
139,MGS1,0.007497553,0.003308266,0.021264851,0.006164618,-0.049153585,0.03974092,0.01026684,-0.008429766,0.011424769,-0.03694608,-0.022211596,0.048554953,0.044407688,-0.04104391,0.021685176,-0.010137238
142,MGS1,0.010147869,0.002483428,0.003732294,0.014743246,-0.008625235,0.011902526,-0.004366905,-0.002202869,0.001837924,-0.019682894,0.004388873,0.025548927,-0.003068591,-0.012345992,0.012111343,-0.000678808
145,MGS1,0.007955067,-0.009603724,0.007030307,0.003572247,-0.0024176,0.011811709,0.0037103,0.005127575,-0.023580015,0.008418954,-0.009641927,0.015988253,0.004376821,-0.017861545,0.00984735,0.01891978
149,MGS1,0.005630534,-0.000941664,-0.003692076,0.009401977,-0.020145826,0.01982882,0.001307979,0.006624192,0.003451787,-0.018325519,0.00078781,0.042097196,0.018081285,-0.05677075,0.026633091,0.006770536
153,MGS1,0.005497153,-0.00232625,0.006951317,-0.000721365,-0.021866484,0.014679998,-0.003884152,0.001879998,0.007518362,-0.000427768,-0.000165637,0.018987171,-8.80E-05,-0.01985316,0.007768281,-0.000635028
162,MGS1,0.01092648,-0.001751706,-0.007333458,-0.014187374,-0.016022425,0.002504136,-0.005454645,0.003883235,0.005919861,0.005270357,-0.004725225,0.004581092,-0.013411535,-0.016985454,-0.000206422,0.012555257
163,MGS1,-0.015115954,0.003908403,0.001365982,0.002289355,0.011645174,-0.011492878,0.012604713,0.001096174,0.004356705,0.008780248,-6.44E-06,0.010748334,-0.003483415,0.018960021,-0.010121763,0.020084728
172,MGS1,-0.015339874,-0.019314948,-0.008193996,-0.006995864,-0.002942506,-0.001009839,-0.007219158,0.010690652,7.97E-05,0.012039479,-0.003394541,0.002361228,0.007856645,0.008850999,0.011090815,0.006904475
173,MGS1,-0.006654906,0.001954578,0.016396426,-0.000759214,0.003709957,0.001221322,0.013244368,0.013707139,0.000795257,-0.02562752,0.004416663,0.011087853,0.012266045,-0.013064444,-2.19E-05,0.001969397
177,MGS1,-0.001606375,0.010555123,-0.013379698,0.006119087,0.024849378,0.001440749,0.002175838,0.006695726,0.004612438,0.007901333,0.002704781,-0.000199363,0.001494255,0.012452535,-0.005159736,0.02001824
189,MGS1,0.000309377,-6.55E-05,-0.01499898,0.012045484,0.006698959,-0.020938873,0.007366313,0.006913177,-0.002594523,0.00746969,0.001171619,0.007051479,0.002509935,-0.007691577,0.010481216,0.022876471
217,MGS1,-0.002218235,0.008173578,-0.007190839,-0.001054013,0.008579757,0.003527181,6.26E-05,0.005261734,0.001929432,-0.01772746,0.001482919,0.008708704,0.000506446,-0.00821051,0.000295654,0.014568031
218,MGS1,0.01672398,-0.002916336,0.009356245,0.013473421,-0.017159548,0.014757799,-0.020632729,-0.002930716,-0.007159863,0.000752209,0.001530871,0.012181541,0.017996697,-0.00432089,0.007557822,-0.006578937
229,MGS1,0.010246754,-7.24E-05,-0.000328898,0.010643072,-0.03374909,-0.0052015,-0.001304478,0.007423043,0.008675605,-0.01639647,-0.019886538,0.035893895,0.018313013,-0.034639858,0.00706546,0.006895974
237,MGS1,0.003990252,-0.005221344,-0.002919477,0.009891607,0.019856066,-0.004248384,0.000707295,0.009045294,-0.004227456,0.003858123,-0.002090491,-0.016902877,-0.012068898,0.014245015,-0.003882704,0.014946869
243,MGS1,0.018118944,0.006075069,-0.005269036,0.02591724,-0.006399593,-0.001712486,-0.013143785,-0.005831629,0.00041689,0.002473509,0.008961137,0.023941163,-0.001710981,-0.010708019,0.005329724,0.0365178
246,MGS1,9.20E-06,0.00628981,6.62E-05,0.026156195,-0.03822902,0.022683993,-0.01664123,-0.004175693,0.028641373,-0.044689097,0.00453588,0.059056446,0.036853157,-0.061030652,0.013285401,-0.006157219
251,MGS1,-0.006200555,0.015955493,0.003439613,0.017509136,0.0172237,-0.010949928,0.024535269,0.003121472,0.008175686,-0.004131392,0.014221974,0.007180624,-0.001986951,-0.004109271,-0.003655925,0.009384237
254,MGS1,-0.003102332,0.006135039,-0.003082629,-0.002983969,-0.001808208,0.005137708,0.001035735,0.009690516,-0.006141719,0.005232944,0.003281996,-0.001890648,0.007805049,0.001559185,-0.001980655,0.001918968
264,MGS1,-0.012022033,-0.002365269,-0.015154572,-0.001514625,0.009023912,-0.02120407,0.012558244,0.010193143,0.014171803,0.009444557,0.004560143,-0.001017585,0.001266262,0.01020423,-0.008107398,0.005886233
265,MGS1,0.011200368,0.007963819,-0.022950599,0.009821557,0.04158584,-7.46E-05,-0.006908588,0.002192501,0.006569469,-0.012305975,0.011124086,0.000187188,-0.014407665,0.008086743,-0.00405214,0.017403916
266,MGS1,0.017305087,-0.004238233,-0.011060938,0.015214264,-0.005166274,-0.000434108,0.002184123,0.000188652,0.012332559,0.003028389,-0.01847545,0.01162499,0.009066027,-0.043969207,0.017557666,0.025817886
286,MGS1,-0.010662586,0.011081107,0.011524156,0.002977952,-0.012246093,0.005515575,-0.007353991,0.003899377,0.011456769,-0.012214961,0.01301413,0.027770557,0.022172114,-0.013072591,-0.001389951,-0.00641649
288,MGS1,0.017742187,0.004286259,0.004394859,0.004775655,-0.018764028,0.003533715,-0.004493326,0.017745607,0.010073975,0.004843742,-0.01838211,0.024289247,0.016263478,-0.019155208,0.000379603,0.006231576
291,MGS1,0.008100236,0.003452696,-0.003187306,0.002403401,-0.00597068,0.003716866,-0.003954023,0.00700701,-0.003144704,-0.001977041,-0.005772617,0.013829481,0.018864239,-0.020558625,0.007109754,0.00468199
292,MGS1,-0.002584133,0.008790791,-0.015946671,0.005685899,-0.017060231,0.000779902,-0.005847499,-0.015425012,0.010275446,-0.009205584,-0.007057464,0.016140334,0.005171914,-0.023780629,0.000764944,0.001333848
293,MGS1,-0.018974354,-0.0036441,0.000416018,-0.003594101,-0.007472904,-0.002443939,-0.009455204,-0.011337331,-0.010686958,0.001439758,0.005883083,0.010224216,-0.00272011,0.006317258,0.009007238,-0.006946535
295,MGS1,0.000511471,0.000489518,-0.003979322,-0.001112212,-0.004141603,0.006169139,-0.010174833,0.002340993,-0.000876997,0.00186098,-0.010150172,0.005848831,-0.005235927,-0.006170828,-0.002764605,4.43E-05
307,MGS1,0.001575273,-0.001051173,-0.007848501,-0.002624456,-0.026449412,0.01318024,-0.007119641,-0.001313571,-0.019207947,0.006324684,-0.008164532,0.016129225,-0.003493154,-0.008687802,0.016769871,-0.007442135
308,MGS1,0.003089272,-0.007491597,0.003616657,-0.011623186,0.00379128,-0.001987815,0.011904649,-0.001029418,-0.001536124,0.002924115,-0.003479376,-0.002609273,-0.0204148,0.02491872,-0.006235637,-0.010505939
311,MGS1,0.00632789,-0.005611226,-0.003870711,0.006711312,-0.03534775,0.001520288,-0.006713778,0.008506075,-0.002553165,-0.003532812,-0.01618119,0.034795888,0.021204665,-0.03769622,0.021150846,0.014695913
313,MGS1,0.001005035,-0.00010092,-0.004339961,-0.005863994,-0.00374382,-0.010201881,-0.000200223,0.000810728,-0.00667768,0.002697902,0.002127638,0.006595649,0.00178048,-0.00740058,0.005256146,0.000382554
314,MGS1,0.004205318,-0.003601227,-0.013561154,0.001046231,0.022910282,-0.005380668,0.01556449,0.012504704,-0.001129591,0.014502052,-0.024359964,-0.000780717,-0.01707237,0.004289446,0.001855627,0.023856504
315,MGS1,-0.00080017,0.001020119,-0.001581036,-0.001225263,-0.01718733,0.006983921,0.007755376,0.025043398,-0.003560759,-0.001696233,-0.01647653,0.013563967,-0.01939004,-0.010907441,0.0122979,0.009535924
316,MGS1,0.004044339,4.59E-05,0.001864225,-0.006553035,-0.024415001,0.008405454,-0.006962657,-0.009573096,-0.005142361,-0.006402731,-0.013461895,0.023832094,0.017654926,-0.034234144,0.017946199,0.005486384
317,MGS1,0.006844714,0.002527192,-0.009450171,0.006203134,-0.008333176,0.01032543,-0.007841241,0.0020549,-0.00582058,-0.006410172,-0.003868008,0.017059019,0.007416869,-0.02041807,0.014029875,0.019868106
318,MGS1,-0.005758978,0.009964198,0.013639465,0.000166491,-0.005306048,0.020496674,0.0178992,0.001600511,0.000407944,-0.015028751,-0.000987638,0.021240529,0.021090258,-0.030374568,0.00909551,-0.002869099
319,MGS1,0.005871449,-0.009007357,-0.00985581,0.000166059,-0.001204278,-0.003998689,0.001500326,0.008368488,0.004385158,0.003507476,-0.008095518,0.003938701,-0.006755941,-0.002491847,0.006419499,0.02666206
320,MGS1,-0.007762149,0.003187161,-0.001800251,-0.000417635,0.008778352,-0.004961351,-0.003546914,0.015531003,-0.006191269,0.01257414,0.00325593,-0.003328343,-0.009622369,0.004695196,-0.001985241,0.002328806
321,MGS1,0.017096318,0.011724383,-0.006034955,-0.002943523,-0.014838072,0.019949839,-0.016292736,-0.002125278,-0.005113512,-0.003532581,-0.013328929,0.017416768,0.004624248,-0.02097565,0.002475157,-0.016842471
322,MGS1,0.007247176,-0.010756865,-0.017430753,0.007369325,-0.017435987,0.016387258,-0.004578799,-0.002693525,-0.001912966,0.003647476,-0.012130573,0.00736701,0.009996813,-0.03240439,0.020106487,0.015173748
324,MGS1,0.010523777,0.000314251,-0.014962282,0.019770369,-0.00436588,0.013969425,-0.001833208,-0.003949758,0.009364814,-0.004353294,-0.007877037,0.014028139,0.014382853,-0.011840666,0.013323478,0.010216102
335,MGS1,-0.01655199,0.011281356,-0.005520135,0.004224889,-0.0219747,0.005781159,-0.009600878,0.007887363,0.001149155,-0.01795018,-0.008498672,0.033477128,0.010118641,-0.037260696,0.009648997,0.01455161
347,MGS1,-0.007439531,-0.001644388,0.006405927,0.007586211,-0.008589841,0.006775631,0.000927597,-0.008554641,0.01154618,-0.025485627,0.010836616,0.025586544,0.023145288,-0.017059524,0.015448466,0.004650008
348,MGS1,0.011266947,0.007356308,-0.005843542,0.002419844,-0.01264283,0.008785307,0.01147103,0.016012572,0.006771119,0.007858828,-0.00766661,0.007424681,-0.005092077,-0.0180467,0.007807789,0.017582782
349,MGS1,-0.009577028,0.003376193,0.005867323,-0.002862871,0.025145315,-0.009891679,0.011560895,-0.002632013,-0.004331745,-0.012102375,0.007011604,1.39E-05,-0.003188498,0.022323413,-0.009954535,0.013828166
350,MGS1,0.010965817,-0.002486661,0.003942639,0.002561346,-0.024783403,0.011265241,-0.009519845,0.01459302,-0.000966925,-0.009786516,-0.014003312,0.012945142,0.013802536,-0.012362573,0.002950102,-0.004700996
351,MGS1,-0.010289654,-0.006098032,-0.010490879,0.001698777,0.049126405,-0.005558476,0.017863542,3.52E-05,-0.004327476,0.024573784,0.007875182,-0.03388595,-0.027328951,0.03316417,-0.014402982,0.012559123
352,MGS1,0.011548108,0.000614792,0.012004569,0.001542807,-0.03315886,0.011104628,-0.000861181,-0.004725426,0.018792827,-0.013657808,4.73E-05,0.0333277,0.03196665,-0.032048047,0.0066364,0.00932458
353,MGS1,-0.009797247,0.006101422,-0.007151702,-0.014865205,0.006840237,-0.016084999,0.005774431,-0.005459175,-0.002909258,0.008280803,-0.004134076,-0.011940908,-0.007857554,0.03419034,-0.003672332,-0.009494849
354,MGS1,0.008527678,0.001428731,-0.011184301,-0.006102091,0.01185216,-0.004558317,0.004133821,0.001930483,0.002741009,0.023769842,-0.006126637,-0.015190629,-0.017488347,0.02394436,-0.006612927,0.013497941
355,MGS1,0.004257396,0.005495403,-0.012712106,-0.004974292,-0.006102447,0.009178475,-0.00689885,0.000765353,0.000933632,-0.000614703,0.001005458,0.008481193,0.004675929,-0.007976633,0.003171887,0.006642137
356,MGS1,-0.004518975,-0.004698485,-0.010813272,0.003490817,-0.007451005,-0.000434699,0.005968705,0.011985719,0.017713815,0.004210359,-0.012995165,0.015772954,-3.30E-05,0.009287193,0.005832151,0.011534956
375,MGS1,-0.011192624,0.008950554,0.000704661,-0.014782989,0.02379043,-0.008298621,0.007793941,0.003477654,2.02E-05,-0.004984967,-0.000830565,-0.00954168,-0.017819583,0.027652446,-0.021070413,0.005143657
376,MGS1,-0.008847237,-0.003130011,-0.013312042,-0.006057151,0.001291954,-0.0185056,0.009612121,0.00420209,-0.002969027,0.01233082,-0.004687168,0.006335335,-0.013511226,0.016281445,0.004839946,0.02546653
377,MGS1,-0.004277905,0.003627226,0.008140892,-0.001658484,-0.025180656,-0.002606317,0.012650441,0.017240427,0.013800807,-0.005119953,-0.005500063,0.013450794,0.004323676,-0.00315075,-0.00723093,0.005871441
379,MGS1,0.000535743,0.003743455,-0.005554509,0.016219066,0.006582528,0.001790743,-0.010214746,0.000504911,-0.00644698,-0.003612164,-0.004607655,0.01832603,0.017088033,-0.009584814,0.010391563,0.010078773
384,MGS1,-0.011842816,-0.007812105,0.009966262,-0.024007536,0.04421457,-0.014276745,0.031002998,0.001215609,-0.002603009,-0.00185591,-0.003449723,-0.021676924,-0.019098382,0.0158204,-0.007984592,-0.002499536
386,MGS1,0.011325732,0.007267237,-0.00211221,0.006214216,-0.033862814,0.018297022,-0.009867445,0.006013706,0.003506981,-0.013292794,-0.014960472,0.039654758,0.032294154,-0.04109579,0.018512316,0.005771592
389,MGS1,-0.003093304,0.001516629,-0.013515545,0.000570165,0.00834965,-0.004684199,-0.003776305,-0.005728281,0.007719938,0.006180435,-0.00023545,0.003499538,-0.006048217,0.011790102,-0.003888387,0.003043462
394,MGS1,-0.001808503,0.002723206,-0.005380295,-0.004210241,0.01178449,-0.009305645,0.020386184,-0.006576747,0.008514669,0.004624777,-0.00969623,0.009415895,-0.010637771,0.018006772,-0.008406758,0.011746138
396,MGS1,0.002292817,0.003099546,-0.01858171,-0.00196664,-0.002550366,-0.005522413,0.011496443,0.006211057,0.003243607,-0.001136888,-0.002030116,0.019069366,-0.023273664,-0.023036445,0.006934755,0.019133344
404,MGS1,0.005531234,0.000684589,-0.018370077,0.003871441,-0.032895856,0.02258534,-0.014221385,0.013984904,0.00506483,-0.021792822,-0.003971286,0.043161675,0.026468098,-0.052477896,0.017392252,-0.001470015
405,MGS1,0.018917015,0.000621587,-0.025215082,0.002988994,0.007277491,-0.00037659,-0.009440213,-0.000748053,0.01531022,0.016299497,0.000596464,-0.003198468,-0.013419776,-0.013902895,0.009056229,0.0252508
406,MGS1,0.000406902,-0.008010507,-0.008914281,0.013393043,0.022737443,-0.010697901,0.009009592,0.003491117,-0.000796795,0.022388477,0.014221743,-0.021340145,-0.023806676,0.018963363,0.001016498,0.016528398
413,MGS1,0.003509954,-0.005136281,-0.013118118,0.017296076,-0.028798923,0.005401714,-0.008824483,0.004208863,0.004080534,-0.004632816,-0.00638967,0.03598067,0.009863049,-0.022026498,0.022408403,0.01599437
414,MGS1,-0.016193815,-0.00394997,0.00125026,-0.00330399,0.007521272,-0.012248285,0.001965083,0.003895492,-0.000860512,0.009235244,0.008555081,0.001068432,-0.011010043,0.027917752,-0.0024326,0.009916358
415,MGS1,0.013832971,-0.000115864,-0.008027121,0.014811888,-0.005566604,0.014886091,-0.016623199,0.010568507,0.02200244,-0.001213301,-0.005801424,0.013756435,-0.008055255,-0.01543281,0.011348592,0.006616473
425,MGS1,0.000580285,0.005668968,-0.00511992,0.016023628,-0.03325113,-0.001672966,-0.015890092,0.006817743,0.001775265,-0.014512524,-0.017793978,0.033269964,0.033272214,-0.047015935,0.002823617,0.005209297
447,MGS1,0.010543708,-0.015044145,-0.008963605,0.00714764,0.001447262,0.004101971,0.00049594,0.006455388,-0.014631595,0.008736499,-0.002026022,-0.005295593,-0.003324112,-0.008672491,0.010199882,0.010176469
452,MGS1,-0.014449991,-0.018382251,0.009339616,-0.001905037,0.023331374,-0.027328402,0.0226973,0.001602963,-0.007920399,0.018209832,0.024091134,-0.028265245,-0.009378284,0.041406393,-0.004734889,0.00093025
466,MGS1,0.003854149,0.01584208,0.01363866,-0.000307843,-0.0341283,0.009415634,-0.007829547,0.012136295,0.000730954,-0.026820557,0.006110615,0.032645475,0.018913858,-0.037505068,0.003421614,-0.001976132
468,MGS1,0.011972509,-0.004789934,-0.015021913,0.018896058,-0.006283894,0.005278349,-0.01005128,0.004401621,0.01065708,0.011188041,0.004322998,0.022010682,0.01801041,-0.020500235,0.013905611,0.000985272
