sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,-0.032553762,0.6135191,-0.0743265,0.91720307,0.24861069,0.21754228,1.2596315,-0.96882415,1.6711782,1.2141118,0.34512174,1.7745935,0.5842791,0.8215054,1.206777,0.7068889
4,MGS1,0.21202092,0.5341641,-0.84764355,0.56218374,-0.1298006,1.1600741,0.05048827,-1.384403,0.48892623,-1.2367048,0.65010107,-0.4594823,-0.06934591,0.5374926,0.14969838,-0.2648244
6,MGS1,1.514995,2.6034367,0.19339181,0.48856547,-0.5741398,0.5519889,0.28055733,0.3614803,0.5095372,-0.39039645,-0.033863533,0.8153684,0.48196587,0.42014098,0.80207556,0.15498823
9,MGS1,-1.2576592,1.1017148,0.16313142,0.1279187,0.32265124,0.690389,-0.13894814,-0.6351271,0.29503566,-0.25889373,-0.084868185,0.25500324,0.6582445,1.7381186,-1.2443868,-0.39512807
17,MGS1,-0.75527334,0.1535036,0.435217,1.5002592,-0.80036896,-0.19484617,0.2420289,-0.18664639,0.32641894,0.9594111,1.2196952,-0.481036,0.7366867,0.2829968,-1.0099193,1.4717659
18,MGS1,-0.78011614,0.33074188,1.0393289,-0.088126816,-0.64638555,0.73468614,-0.82074255,-0.6060014,0.720288,0.43815184,0.6102102,1.6279684,-0.32708016,0.8182001,-1.7372305,0.805146
32,MGS1,0.61747307,-0.20500624,0.89314985,1.1702834,-1.4457889,0.8847934,-1.63136,-1.368334,-0.2606446,0.065938756,0.68417645,0.18692997,0.071259424,0.22321959,-0.83356744,-0.66312957
35,MGS1,-0.4583696,1.0469652,0.60223156,1.4431779,0.13910395,-0.57390255,0.20895848,0.22660644,-0.8538724,0.96905625,1.1837598,-0.23383224,1.1056508,-0.7767908,0.27418247,-1.0431222
41,MGS1,0.23705508,-0.33768952,-0.959904,-0.22614639,0.07723381,0.41092986,1.7303017,0.4157511,0.49143147,1.9519918,-0.4175372,0.33058506,0.15058362,-0.39392725,1.2732191,-0.75651264
42,MGS1,0.37175515,-0.88350666,1.6445574,0.09390257,-1.1273203,0.7537733,0.66608137,0.08875924,0.4873128,-0.34915945,0.2516165,0.0714621,-0.37721637,0.1066547,0.08255952,0.6727644
