sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,-0.12988612,0.14404994,-0.09343515,-0.54789275,-0.31454512,-0.2872541,0.101463735,0.32417032,-0.4161863,0.10912805,0.21951512,-0.32944286,-0.19482397,-0.12133065,-0.009982094,-0.66665906
4,MGS1,-0.25444725,0.34346312,-0.028710485,-0.5971276,-0.4127337,-0.8057904,0.09824914,0.12367691,-0.2399508,-0.06895225,0.28416187,-0.32366997,-0.19540665,-0.054462276,0.17434546,-0.36770236
6,MGS1,-0.13286519,0.109898224,-0.37571752,-0.4402836,-0.24411269,-0.98946095,-0.2764126,0.48793957,-0.4535649,-0.022702768,0.3937444,-0.44070536,-0.201091,0.0041866302,0.05366035,-0.50280184
9,MGS1,-0.15985021,-0.12515281,0.03451383,-0.26916367,-0.18692452,-0.258637,0.16514476,0.5597769,-0.3080102,0.12496844,0.20138478,-0.3645661,-0.092893295,-0.15731046,-0.015068278,-0.69734526
17,MGS1,-0.04817819,0.019862369,-0.2098223,-0.20406923,-0.41212595,0.011635933,-0.05034454,-0.07566439,-0.16496392,0.07590643,0.03893521,-0.027259849,0.15845287,-0.018544972,-0.0031131133,-0.17867438
18,MGS1,-0.06291459,-0.22996947,0.20358934,-0.20477504,-0.003160119,-0.5164312,0.073563665,0.8935785,-0.3539816,-0.07847105,0.1828774,-0.43452573,-0.0023526996,-0.23065504,0.022830456,-0.3071226
32,MGS1,-0.017951459,0.15600921,0.6634424,-0.09436698,-0.2967843,-0.6862326,-0.12577628,0.40412045,0.009118497,-0.44608814,-0.09371498,-0.24158573,0.32846218,-0.049624324,0.33570775,0.6678043
35,MGS1,0.23965137,-0.0041005313,0.12529856,0.09181133,-0.026546963,0.54680777,-0.51174855,-0.38705522,-0.10281078,-0.12354629,-0.17938672,0.30147073,0.37136737,0.2566842,-0.03658112,0.36815268
41,MGS1,0.24235913,0.02335421,-0.38510692,0.13173538,0.3216809,0.74308544,-0.1597961,-0.0606682,-0.041306406,-0.12663096,0.18123786,0.2566509,-0.11530368,-0.30134585,-0.043725878,-0.27582234
42,MGS1,-0.090441845,-0.08175383,0.26328188,-0.19573745,-0.4797778,-0.19017145,0.16770548,-0.5178334,0.46879297,0.3198495,0.2153817,0.266868,0.22398789,0.24537718,-0.5351142,-0.032401305
43,MGS1,-0.061413705,-0.17558569,-0.33503684,0.12491149,0.16304669,0.103675954,-0.006385969,0.055244543,-0.036547754,0.04559555,-0.042161137,-0.0044834614,-0.026022866,0.14890677,0.039223358,-0.23373187
81,MGS1,-0.05100161,0.06733384,-0.4470318,0.20988134,0.10608453,-0.6873695,0.05862838,-0.2454604,0.34853783,-0.09447607,-0.16420114,0.08051947,-0.10645126,0.22370413,0.13396168,0.46430415
89,MGS1,-0.0040788427,0.08988252,-0.14402199,0.28466436,0.046825945,-0.63740224,-0.119281396,-0.19707298,0.35171515,-0.21418199,-0.372602,-0.013412312,0.051153176,0.2747262,0.2916489,0.8263332
99,MGS1,-0.19017945,0.34240398,0.19895548,-0.30516487,-0.47041604,-0.98440135,0.12941085,0.03475395,0.026834736,0.02894488,-0.16575477,-0.16386151,0.08878882,0.03306184,0.4555592,0.41626364
109,MGS1,-0.07880149,-0.008651705,-0.05981396,-0.2864454,-0.27630326,-0.44545275,-0.2933509,0.45908064,-0.43043113,0.086520754,0.10202539,-0.17575991,0.039910845,0.14791699,0.2596439,-0.4243132
115,MGS1,-0.0029379558,-0.20317082,-0.27815554,0.101385936,0.02048102,-0.040209852,-0.026208993,0.24285382,-0.10415697,0.17335448,0.05758651,-0.054029174,-0.0653668,0.07017767,-0.028254315,-0.19412734
