sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,MGS1,-1.807141,-0.66376173,0.1022967,-0.07488665,0.75723284,-1.8236792,0.5941902,0.5426016,0.3665756,1.3758963,0.32949612,0.08413679,0.3001961,-0.7897525,-0.5002268,0.49819058
4,MGS1,-1.2611549,-0.49617812,1.3270564,1.0144942,0.6766884,-0.59070617,-0.86085033,0.5088369,-0.81287396,-0.19281323,-0.8224507,-0.2582932,0.4090134,-1.3311862,0.84769315,0.33557692
6,MGS1,-1.5558956,0.8095373,1.2619419,-0.45351967,0.105993606,0.45665365,-0.8184683,1.9321612,-0.95120066,1.0052336,1.2349797,0.9272709,-1.0745821,-0.13353537,0.4571338,-0.546994
9,MGS1,-1.7888539,0.8946934,-0.56765264,-0.7976118,0.71620667,-0.69411844,0.35491493,1.0261592,-0.45258915,1.4721103,2.0345497,-0.26009402,-0.75986063,-0.56319433,0.51651716,-1.4294932
17,MGS1,-0.5032147,0.77073395,1.5622828,-0.18069483,0.18012802,-0.809202,0.72716403,-1.2551905,0.26124108,0.63194865,1.0424032,0.54318684,2.0477777,-1.879425,-0.08744767,-0.1402901
18,MGS1,-0.87891036,-1.0846112,1.0509716,-0.75930697,-0.07786573,0.27678365,-0.91045517,-0.51943916,-1.3922079,-0.46349323,0.53906274,-0.06170087,2.3068206,-1.2730733,0.76145047,0.9616763
32,MGS1,0.1365405,-0.70260257,-0.3792993,0.071321346,-0.8715406,0.4582104,1.3723646,-0.9740929,0.40637714,1.3724566,1.5917327,0.29787755,0.77300876,-1.9530888,1.2765057,-1.1768371
35,MGS1,-0.7886204,-0.6163051,-0.077255465,0.1035696,0.76561546,0.8652268,0.15100136,-0.62299794,1.7429588,0.29376966,1.697683,-0.10697316,0.11533314,0.4560688,-0.54730004,0.60356647
41,MGS1,-0.89227736,-0.8519958,-0.11814785,0.14323084,-0.35476592,-0.1594012,-1.1282325,0.46283013,-0.97808737,-0.45449677,-1.2328192,0.18530397,-0.078913964,0.85671747,-0.8863143,1.4957155
42,MGS1,0.06346719,-0.05883534,0.22034048,0.5723982,-1.2959615,0.15228046,-0.16596107,-0.39053273,-0.20004085,0.43100327,-1.2949718,0.77595687,0.3055879,-1.2962735,-0.36180964,0.13422228
43,MGS1,-0.54818135,0.5749875,0.1399307,-1.0557711,0.18486795,-0.07253277,0.5425289,1.4812304,0.8101978,1.0895759,2.3382373,-0.15642129,-0.24577154,0.79989964,0.2982931,-0.37223667
81,MGS1,0.82622427,-0.087147325,0.27771372,-0.13017885,-2.1094747,0.71978056,0.4675175,0.7609722,1.2695417,0.9226046,1.2151552,-0.20153694,0.7353252,-0.41842487,1.4255545,-0.25670224
89,MGS1,0.9586342,-0.27710867,-0.64006335,-0.2584301,-2.282139,1.0154874,1.3472928,-0.27816498,1.7532635,1.53248,1.6374213,0.020615354,0.52807415,-0.7711136,1.3621864,-0.6029798
99,MGS1,0.70087624,-0.29686785,-0.38786802,0.3747884,-2.584939,-0.913391,1.1706328,-0.19751449,0.7634123,1.8405193,0.91634387,0.08599816,0.4213763,-1.7318182,1.0896275,-0.8265513
109,MGS1,-0.7914495,0.18675353,-0.1938173,-0.1468983,0.082040235,0.38194793,-1.3446964,0.55535656,-0.29294673,-0.020156603,0.5918783,-0.86191607,-0.06840622,-0.11798537,0.74636763,0.3576523
115,MGS1,-0.14192858,0.11381604,0.4475787,-0.45864567,-1.3077853,0.1134184,-0.50974345,-0.08857954,-0.80172974,-0.22755219,-0.050143793,0.34173748,1.3560847,-0.7244069,0.3197375,1.2577192
117,MGS1,0.22585231,1.6565907,-0.5373764,0.7574627,-2.074811,-1.1891506,1.1545656,-0.0638107,0.669213,2.1393044,0.4270792,1.2281564,-0.40593523,-1.5983022,0.27113008,-1.7182676
119,MGS1,-1.2107178,0.8427544,-0.118529335,-0.8528417,0.12089847,-0.89511305,0.31975868,0.98412615,-0.4627324,1.3254344,1.1546772,0.47421128,-0.076127686,-0.8887209,-0.11433868,-0.9206638
120,MGS1,-0.409864,1.3378117,1.1681836,0.5506123,1.0851638,0.37068334,-0.08567449,0.21096309,1.2735716,0.5340405,1.4459407,-0.3738495,0.43585172,0.17487517,0.4920174,0.18326807
126,MGS1,-0.32203248,1.2195697,-1.5764409,0.615031,-1.0225154,0.44061205,0.6907095,-1.3073823,0.78646404,2.4609053,2.078931,-0.84030443,0.6227655,0.6178793,2.1233974,0.53043044
137,MGS1,-0.11342121,0.52082866,0.15767999,-0.27945012,-1.8444182,-0.3838345,-0.48199165,-0.18772328,-0.85978186,-0.1712866,-0.7371406,0.31587592,1.7295407,-0.55399185,0.41159636,1.4674857
139,MGS1,-1.0218863,-0.6055315,0.9290765,0.08358509,0.95959204,-0.45762733,1.264778,1.3342063,1.451979,1.5450267,2.077587,-0.02211635,-0.37847012,-0.9813161,0.4615464,-1.4657302
142,MGS1,-0.2982794,1.5841165,0.19521128,-0.5753668,0.07946877,-0.14272366,0.8844486,1.7722523,0.29891673,1.1213192,2.5985622,0.40273523,-0.7499133,0.028444365,0.7069842,-0.61734885
145,MGS1,-0.35906565,0.5899493,1.2899972,-0.80745304,-0.9482024,-0.08795628,-0.59727836,-0.20722243,-1.2085649,-0.1062234,-0.16202301,0.78635377,1.6722124,-0.74052405,-0.15270478,1.5279286
149,MGS1,0.8888772,-1.5553125,1.3732618,-0.5978673,-0.25908676,1.3184632,-0.7221413,-0.6833932,0.1892034,-0.75977886,-0.10207011,-0.31699052,1.2338957,-0.70751965,0.32185236,0.38954023
153,MGS1,-1.186571,-0.99193174,-0.164593,-0.06126026,0.9408208,0.37636185,0.7133397,-0.714825,0.8980724,1.0172621,1.5951005,-1.3128828,-0.41506985,0.05998975,1.4348159,-1.2319796
162,MGS1,-0.013311878,-0.004601715,-0.057779655,0.64678264,0.6081779,1.7566384,-0.8403059,0.5852529,0.0970704,0.94143695,0.3934615,-0.2336338,-1.0327265,0.8793596,1.640595,-0.35355332
163,MGS1,-1.7101111,-0.5610017,-0.6624184,-0.3237677,-1.5496529,-1.0817361,0.024637114,-1.367624,-0.50961465,-0.16274361,0.87663716,-0.19368276,1.395862,-1.1031655,-0.13225564,0.8879925
172,MGS1,-1.2127846,0.8003491,0.003951024,0.5678339,0.079921484,0.10211949,-0.16644095,0.17774633,1.2392948,0.29459748,1.053705,0.38357532,-0.5256623,0.23557477,-0.12313265,0.19863662
